C-2015-12
"December 1, 2015 - December 31, 2015"
"Total: $ 39,831.69"


Date,Description,Currency,Amount,Category,Payment,Start/Stop Mileage,Receipt - Excel File Link
2/26/16,,USD,43.69,Groceries,Cash,,
2/26/16,,USD,7.00,Smokes,Cash,,
2/27/16,,USD,22.20,Groceries,Cash,,
2/27/16,,USD,37.00,Drinks,Cash,,
2/27/16,,USD,5.00,Drinks,Cash,,
2/27/16,,USD,25.00,Drinks,Cash,,
2/27/16,,USD,8.50,Drinks,Cash,,
2/28/16,,USD,18.00,Drinks,Cash,,
2/28/16,,USD,13.50,Groceries,Cash,,
2/28/16,,USD,31.78,Groceries,Cash,,
2/29/16,,USD,21.90,Groceries,Cash,,
3/1/16,,USD,14.00,BMWmaintenance,Cash,,
3/1/16,,USD,6.00,Lunch,Cash,,
3/1/16,,USD,2.92,Starbucks,Cash,,
3/1/16,,USD,5.33,Groceries,Cash,,
3/2/16,,USD,9.53,Lunch,Cash,,
3/2/16,,USD,9.01,Groceries,Cash,,
3/2/16,,USD,7.00,Smokes,Cash,,
3/3/16,,USD,7.50,Lunch,Cash,,
3/3/16,,USD,2.92,Starbucks,Cash,,
3/3/16,,USD,10.59,Groceries,Cash,,
3/4/16,,USD,13.23,Lunch,Cash,,
3/4/16,"P2,459",USD,20.00,Fuel,Cash,,
3/4/16,,USD,7.74,Groceries,Cash,,
3/5/16,,USD,4.23,MiscSnack,Cash,,
3/5/16,,USD,23.90,Laundry,Cash,,
3/5/16,,USD,4.23,Miscellaneous,Cash,,
3/5/16,P2.159,USD,20.00,Fuel,Cash,,
3/5/16,,USD,24.93,Drinks,Cash,,
3/5/16,,USD,12.59,Groceries,Cash,,
3/5/16,,USD,6.33,Smokes,Cash,,
3/5/16,,USD,20.00,Drinks,Cash,,
3/5/16,,USD,31.00,Drinks,Cash,,
3/5/16,,USD,9.00,Drinks,Cash,,
3/6/16,,USD,9.00,Drinks,Cash,,
3/6/16,,USD,150.00,Spa,Cash,,
3/6/16,,USD,15.31,Groceries,Cash,,
3/7/16,,USD,21.70,Groceries,Cash,,
3/8/16,,USD,6.50,Lunch,Cash,,
3/8/16,,USD,2.98,Starbucks,Cash,,
3/8/16,,USD,7.53,Smokes,Cash,,
3/8/16,,USD,19.39,Groceries,Cash,,
3/9/16,P2.449,USD,0.00,Fuel,Cash,,
3/9/16,,USD,12.39,Lunch,Cash,,
3/10/16,,USD,20.00,Medical,Cash,,
3/10/16,,USD,2.98,Starbucks,Cash,,
3/10/16,,USD,8.00,Lunch,Cash,,
3/11/16,,USD,19.03,Groceries,Cash,,
3/11/16,,USD,55.00,Boxing,Cash,,
3/11/16,,USD,12.00,DrewTime,Cash,,
3/11/16,,USD,7.95,Smokes,Cash,,
3/11/16,,USD,22.80,Groceries,Cash,,
3/11/16,,USD,5.00,Cover Charge,Cash,,
3/11/16,,USD,7.00,Drinks,Cash,,
3/12/16,,USD,17.94,Laundry,Cash,,
3/12/16,"P2,459",USD,25.00,Fuel,Cash,,
3/12/16,,USD,11.79,Lunch,Cash,,
3/12/16,,USD,73.00,Snack,Cash,,
3/13/16,,USD,28.70,Groceries,Cash,,
3/13/16,,USD,14.53,Groceries,Cash,,
3/13/16,,USD,7.00,Smokes,Cash,,
3/14/16,,USD,34.02,Groceries,Cash,,
3/14/16,,USD,20.00,Medical,Cash,,
3/14/16,"P2,499",USD,10.00,Fuel,Cash,,
3/14/16,,USD,5.65,Groceries,Cash,,
3/15/16,,USD,15.79,Groceries,Cash,,
3/16/16,,USD,7.75,Smokes,Cash,,
3/16/16,,USD,11.99,Lunch,Cash,,
3/16/16,,USD,12.70,Groceries,Cash,,
3/17/16,,USD,7.25,Lunch,Cash,,
3/17/16,,USD,2.92,Starbucks,Cash,,
3/17/16,,USD,19.57,Groceries,Cash,,
3/17/16,P2.659,USD,10.00,Fuel,Cash,,
3/17/16,,USD,6.12,DrewTime,Cash,,
3/18/16,,USD,0.99,Groceries,Cash,,
3/19/16,,USD,7.40,Smokes,Cash,,
3/19/16,,USD,7.00,Drinks,Cash,,
3/19/16,,USD,12.50,Drinks,Cash,,
3/19/16,P2.599,USD,10.00,Fuel,Cash,,
3/19/16,,USD,38.63,Groceries,Cash,,
3/20/16,,USD,27.34,Groceries,Cash,,
3/21/16,,USD,18.52,Groceries,Cash,,
3/21/16,,USD,9.08,Groceries,Cash,,
3/22/16,,USD,2.92,Starbucks,Cash,,
3/22/16,,USD,7.50,Lunch,Cash,,
3/22/16,,USD,3.60,MiscSnack,Cash,,
3/22/16,P2.559,USD,5.00,Fuel,Cash,,
3/22/16,,USD,11.57,Groceries,Cash,,
3/23/16,"P2,499",USD,20.00,Fuel,Cash,,
3/23/16,,USD,6.47,Smokes,Cash,,
3/23/16,,USD,11.00,Lunch,Cash,,
3/24/16,,USD,80.00,Lunch,Cash,,
3/24/16,,USD,12.20,Snack,Cash,,
3/24/16,,USD,11.96,Groceries,Cash,,
3/24/16,,USD,50.00,HomeMaintenance,Cash,,
3/25/16,,USD,7.10,Lunch,Cash,,
3/25/16,,USD,34.63,Groceries,Cash,,
3/25/16,,USD,40.00,Dinner,Cash,,
3/25/16,,USD,1.29,Snack,Cash,,
3/26/16,,USD,48.75,Office Supplies,Cash,,
3/26/16,,USD,1.69,Medical,Cash,,
3/26/16,,USD,22.53,Groceries,Cash,,
3/26/16,,USD,26.00,Dinner,Cash,,
3/26/16,P2.599,USD,20.00,Fuel,Cash,,
3/26/16,,USD,5.00,Cover Charge,Cash,,
3/26/16,,USD,9.50,Drinks,Cash,,
3/26/16,,USD,5.00,Cover Charge,Cash,,
3/26/16,,USD,7.00,Drinks,Cash,,
3/26/16,,USD,7.00,Drinks,Cash,,
3/28/16,,USD,7.32,Lunch,Cash,,
3/28/16,,USD,2.00,Snack,Cash,,
3/29/16,,USD,26.66,Groceries,Cash,,
3/29/16,,USD,7.50,Lunch,Cash,,
3/29/16,,USD,2.98,Starbucks,Cash,,
3/30/16,,USD,9.58,Lunch,Cash,,
3/30/16,,USD,10.86,Gifts,Cash,,
3/31/16,,USD,3.10,Starbucks,Cash,,
3/31/16,,USD,6.50,Lunch,Cash,,
3/31/16,P2.659,USD,10.00,Fuel,Cash,,
3/31/16,,USD,2.50,MiscSnack,Cash,,
4/1/16,,USD,30.00,Lunch,Cash,,
4/1/16,,USD,6.50,DrewTime,Cash,,
4/1/16,P2.459,USD,10.00,Fuel,Cash,,
4/1/16,,USD,17.42,Groceries,Cash,,
4/1/16,,USD,8.00,Drinks,Cash,,
4/1/16,,USD,8.00,Drinks,Cash,,
4/2/16,,USD,24.00,BMWmaintenance,Cash,,
4/2/16,,USD,7.00,Smokes,Cash,,
4/2/16,P2.739,USD,20.00,Fuel,Cash,,
4/2/16,,USD,7.00,Drinks,Cash,,
4/3/16,,USD,23.97,Groceries,Cash,,
4/3/16,,USD,34.26,SailGear,Cash,,
4/3/16,,USD,4.22,MiscSnack,Cash,,
4/3/16,,USD,29.67,SailGear,Cash,,
4/3/16,,USD,291.50,SailGear,Cash,,
4/3/16,,USD,11.00,Dinner,Cash,,
4/3/16,BoatShoes,USD,76.00,SailGear,Cash,,
4/4/16,,USD,35.20,Groceries,Cash,,
4/4/16,,USD,20.00,Medical,Cash,,
4/5/16,,USD,8.25,Lunch,Cash,,
4/5/16,,USD,2.92,Starbucks,Cash,,
4/5/16,,USD,24.18,Groceries,Cash,,
4/6/16,,USD,6.73,Lunch,Cash,,
4/6/16,,USD,2.60,MiscSnack,Cash,,
4/6/16,,USD,14.71,Groceries,Cash,,
4/6/16,,USD,50.00,HomeMaintenance,Cash,,
4/6/16,,USD,99.96,Groceries,Cash,,
4/7/16,,USD,130.00,Miscellaneous,Cash,,
4/7/16,,USD,30.00,Fuel,Cash,,
4/7/16,,USD,7.50,Smokes,Cash,,
4/7/16,,USD,6.25,Lunch,Cash,,
4/7/16,,USD,2.92,Starbucks,Cash,,
4/7/16,,USD,17.20,Dinner,Cash,,
4/8/16,,USD,4.50,TGNDomains,Cash,,
4/8/16,,USD,10.00,MiscSnack,Cash,,
4/8/16,,USD,7.50,DrewTime,Cash,,
4/9/16,,USD,15.59,Groceries,Cash,,
4/9/16,,USD,5.00,Cover Charge,Cash,,
4/9/16,,USD,8.00,Drinks,Cash,,
4/9/16,,USD,9.75,Drinks,Cash,,
4/9/16,,USD,5.00,Cover Charge,Cash,,
4/9/16,,USD,8.00,Drinks,Cash,,
4/10/16,,USD,16.56,Groceries,Cash,,
4/11/16,,USD,11.64,Lunch,Cash,,
4/11/16,P3.599,USD,20.00,Fuel,Cash,,
4/11/16,,USD,10.44,Groceries,Cash,,
4/12/16,,USD,20.85,Laundry,Cash,,
4/12/16,,USD,4.50,MiscSnack,Cash,,
4/12/16,,USD,4.50,MiscSnack,Cash,,
4/12/16,Rosario,USD,12.00,Date,Cash,,
4/12/16,,USD,4.50,MiscSnack,Cash,,
4/12/16,,USD,10.00,MiscSnack,Cash,,
4/12/16,,USD,65.00,Dinner,Cash,,
4/13/16,BBall,USD,170.00,Clothing,Cash,,
4/13/16,,USD,30.00,Haircut,Cash,,
4/13/16,,USD,16.83,Groceries,Cash,,
4/14/16,,USD,6.50,Lunch,Cash,,
4/14/16,,USD,2.92,Starbucks,Cash,,
4/14/16,,USD,230.23,Medical,Cash,,
